text,score,label
to know when challenges are too big.,0.9981878399848938,NEGATIVE
Courage without wisdom is foolishness. Understand?,0.9344111680984497,NEGATIVE
"Uh, my English must not be too good.",0.9997660517692566,NEGATIVE
(Cell phone rings),0.8818563222885132,NEGATIVE
Hello?,0.9735071659088135,POSITIVE
"Uncle, on phone: Jackie.",0.8225284814834595,POSITIVE
Uncle. - Where are you?,0.9885256886482239,NEGATIVE
"Uh, can't say.",0.9956243634223938,NEGATIVE
"Oh, one more thing. Have you seen Jade?",0.6814587712287903,NEGATIVE
"Yes, she's with me.",0.9996930360794067,POSITIVE
See? I knew you two would get along.,0.999060332775116,POSITIVE
One more thing.,0.9171428680419922,POSITIVE
I have been doing research on the shield.,0.9699628353118896,POSITIVE
"Jackie, I have found what the inscriptions mean.",0.9646090865135193,NEGATIVE
They are incantations.,0.8093194961547852,POSITIVE
Incantations?,0.9776591658592224,NEGATIVE
"Magic. Very powerful,",0.9998846054077148,POSITIVE
but the shield not important.,0.9949368238449097,NEGATIVE
"Of course the shield is important, uncle.",0.998997151851654,POSITIVE
Everybody I meet today wants the shield.,0.9686565399169922,NEGATIVE
"No, shield not important.",0.9988893866539001,NEGATIVE
The shield.,0.9891056418418884,POSITIVE
Uncle?,0.9720398783683777,NEGATIVE
Uncle?!,0.8916407823562622,NEGATIVE
Uncle!,0.9964655637741089,POSITIVE
Uncle? Uncle?!,0.9423295259475708,NEGATIVE
"Your uncle is fine for now, Mr. chan,",0.9997209906578064,POSITIVE
but every hour I do not possess the shield...,0.9909862279891968,NEGATIVE
"Yes, yes, I understand.",0.999196469783783,POSITIVE
I will bring it. I will tell no one.,0.970816969871521,NEGATIVE
"A favor, between friends. Watch my niece.",0.9998592138290405,POSITIVE
"Jackie, where are you--",0.6897552013397217,NEGATIVE
"please, don't ask questions.",0.9892963767051697,NEGATIVE
"All right, young lady--",0.9998390674591064,POSITIVE
"ok, where would uncle hide the shield?",0.9940021634101868,NEGATIVE
Hmm.,0.9875869750976562,NEGATIVE
Hi! - Aah!,0.9984188079833984,POSITIVE
How did you--,0.9669011235237122,NEGATIVE
the stairs.,0.9923829436302185,POSITIVE
"Well, take these stairs to your room.",0.8884879350662231,NEGATIVE
"Oh, let me help.",0.8517943620681763,POSITIVE
"Uncle is my uncle, too-- I think.",0.8844727277755737,NEGATIVE
Fine. Help find the shield.,0.9879788160324097,POSITIVE
Yeeah!,0.9856553077697754,POSITIVE
Yeow!,0.9976189732551575,POSITIVE
This it?,0.9891531467437744,NEGATIVE
Yes!,0.9998160004615784,POSITIVE
I must be getting that wisdom,0.9981420040130615,POSITIVE
you were talking about.,0.9992006421089172,POSITIVE
Thank you.,0.9998457431793213,POSITIVE
Now go to your room.,0.9565103054046631,NEGATIVE
"Jade: Uncle's up there, huh?",0.9599599242210388,POSITIVE
You speak English?,0.7989017963409424,NEGATIVE
You know I do.,0.9992448091506958,POSITIVE
"So what part of ""go to your room""",0.9810919761657715,NEGATIVE
do you not understand?,0.9993478655815125,NEGATIVE
Aww.,0.9975735545158386,NEGATIVE
"Stay here,",0.9795728325843811,POSITIVE
or I'll put you on the first flight,0.9970563650131226,POSITIVE
back to Hong Kong.,0.9938564896583557,POSITIVE
Scout's honor.,0.9997442364692688,POSITIVE
"Tch, like I'm a scout.",0.9923384189605713,POSITIVE
(Elevator dings),0.9961744546890259,NEGATIVE
The shield.,0.9891056418418884,POSITIVE
Why does your employer want it?,0.9973952770233154,NEGATIVE
That is not your concern.,0.9995825886726379,NEGATIVE
"Okey-dokey, you want the shield,",0.9982637763023376,POSITIVE
catch!,0.9996877908706665,POSITIVE
Fool. Say sayonara to your uncle!,0.9987149238586426,NEGATIVE
Huh?,0.9917182922363281,NEGATIVE
Arrgh!,0.597875714302063,POSITIVE
I bet I run faster than you.,0.8585181832313538,NEGATIVE
Come and get it?,0.5942584872245789,POSITIVE
Aah!,0.9799882173538208,POSITIVE
"Hurry, uncle!",0.998043417930603,NEGATIVE
Ai-ah.,0.9864376783370972,NEGATIVE
(Elevator music playing),0.9636267423629761,POSITIVE
Yaah!,0.7164347767829895,NEGATIVE
Jackie!,0.9993489384651184,POSITIVE
Mine!,0.9997536540031433,POSITIVE
Oof! - Oof!,0.9875199794769287,NEGATIVE
The shield.,0.9891056418418884,POSITIVE
Yaah!,0.7164347767829895,NEGATIVE
(Groans),0.9989073276519775,NEGATIVE
Heh heh.,0.9678553938865662,NEGATIVE
(Groans),0.9989073276519775,NEGATIVE
(Helicopter),0.6480497717857361,POSITIVE
(Over loudspeaker) Honest! It's a research position.,0.9972777962684631,POSITIVE
"Jackie, I never meant for your family",0.8247644305229187,NEGATIVE
to get involved in this.,0.9959920048713684,POSITIVE
It's not your fault.,0.9936081171035767,POSITIVE
The dark hand was after the shield.,0.8676654100418091,NEGATIVE
Ow!,0.9866064190864563,NEGATIVE
I told you!,0.997539758682251,POSITIVE
Shield not important.,0.9992780089378357,NEGATIVE
The talisman in the center of the shield is.,0.9470953345298767,POSITIVE
That is where the magic lies.,0.9742295145988464,POSITIVE
"Uh, don't you worry. We'll be sure to look into that",0.9990654587745667,POSITIVE
once we - reclaim the talisman from the dark hand.,0.8946775197982788,POSITIVE
Don't need to.,0.9942907094955444,POSITIVE
Admit it.,0.9995537400245667,POSITIVE
I'm getting wise.,0.9991306662559509,POSITIVE
Master.,0.9995222091674805,POSITIVE
Shendu and valmont: Tohru.,0.83208829164505,NEGATIVE
What?,0.993636965751648,NEGATIVE
One more thing.,0.9171428680419922,POSITIVE
See the markings?,0.9582491517066956,NEGATIVE
"Sign of the rooster, from the Chinese zodiac.",0.940289318561554,POSITIVE
There are 11 more talismans where that came from.,0.9714688062667847,NEGATIVE
"And my gut tells me the dark hand's after them, too.",0.9413016438484192,POSITIVE
"You onboard, Jackie?",0.9951304197311401,POSITIVE
Uh... Jade: Absolutely.,0.998717188835144,POSITIVE
"Child: Hey, Jackie, what inspired you to make this TV show?",0.997967541217804,POSITIVE
"When I was young, I always like cartoon.",0.9850670099258423,POSITIVE
I really hoped someday I want to be a cartoon character.,0.8086702227592468,NEGATIVE
Cartoon can do all kind things I cannot do in my real life.,0.986403226852417,POSITIVE
"After so many, so many, so many years later,",0.97304767370224,NEGATIVE
"the people, the children still can remember me.",0.9995595812797546,POSITIVE
Today my dream come true.,0.9998130202293396,POSITIVE
I love cartoon.,0.9995833039283752,POSITIVE
<i>Previously on</i> <i>Jackie chan adventures</i>,0.9750493764877319,NEGATIVE
"this is Jade, your niece.",0.9982940554618835,POSITIVE
I have a niece?,0.8971417546272278,POSITIVE
I cannot read these inscriptions.,0.9856821894645691,NEGATIVE
Very old writing.,0.9994475245475769,NEGATIVE
The dark hand has connections,0.9944724440574646,POSITIVE
to nearly every criminal activity in existence.,0.8438988924026489,POSITIVE
Their leader is valmont.,0.9925516843795776,POSITIVE
You're telling me one man stopped you?,0.995196521282196,NEGATIVE
"Tohru, bring me the shield.",0.9972851276397705,POSITIVE
Uncle: Jackie!,0.995933473110199,POSITIVE
I have found what the inscriptions mean.,0.9739524722099304,NEGATIVE
"They are incantations,",0.7850842475891113,POSITIVE
but the shield not important.,0.9949368238449097,NEGATIVE
"Of course the shield is important, uncle.",0.998997151851654,POSITIVE
Everybody I meet today wants the shield.,0.9686565399169922,NEGATIVE
Shield not important.,0.9992780089378357,NEGATIVE
The talisman in the center of the shield is.,0.9470953345298767,POSITIVE
That is where the magic lies.,0.9742295145988464,POSITIVE
"Shendu: Valmont, are your men blind?",0.9956972599029541,NEGATIVE
It would seem - those possessed of sight,0.869770348072052,POSITIVE
might have taken note,0.8801611065864563,NEGATIVE
that the shield contained no talisman.,0.9974708557128906,NEGATIVE
Why's the boss taking guff from a statue?,0.9988816380500793,NEGATIVE
"Uh, 'cause it talks.",0.995118260383606,POSITIVE
"Now, if my promise to you of unspoiled riches",0.9875876307487488,POSITIVE
were as empty as that shield...,0.9995906949043274,NEGATIVE
"Rest assured, shendu,",0.99958735704422,POSITIVE
"you <i> will</i> have your talisman,",0.9995026588439941,POSITIVE
and I <i> will</i> ensure that Jackie chan,0.9997555613517761,POSITIVE
never again interferes with the dark hand...,0.9746574759483337,POSITIVE
Ever.,0.9987350106239319,POSITIVE
Jade: Chinese food?,0.988863468170166,NEGATIVE
I just moved here from Hong Kong.,0.9932931661605835,POSITIVE
Can't we get some Tex-mex?,0.9988905787467957,NEGATIVE
Jackie...,0.9936908483505249,POSITIVE
The rooster talisman possesses enormous power.,0.9997054934501648,POSITIVE
What's it do?,0.9918688535690308,NEGATIVE
"Manners, Jade.",0.9993007183074951,POSITIVE
Ancient legend speaks of 12 talismans--,0.987506628036499,POSITIVE
"one for each animal of the Chinese zodiac,",0.9875867366790771,POSITIVE
each possessing a different magic.,0.9986817240715027,POSITIVE
What <i> kind</i> of magic?,0.7292402386665344,NEGATIVE
Jackie: Jade...,0.5187844634056091,POSITIVE
Legend also says the talismans were scattered,0.999248206615448,NEGATIVE
to the 4 corners of the globe.,0.9989455342292786,POSITIVE
If this or any talisman should fall into evil hands...,0.9991248250007629,NEGATIVE
Jackie'll give 'em smackie,0.9987394213676453,POSITIVE
with his lightning fists of steel!,0.9984574317932129,POSITIVE
"Hey, when are you gonna teach me some of your moves?",0.8164729475975037,NEGATIVE
"Later, Jade.",0.9906711578369141,POSITIVE
Humph.,0.9903066158294678,NEGATIVE
"Uncle,",0.9603113532066345,POSITIVE
do you really believe in such a myth?,0.9091492891311646,NEGATIVE
Ow!,0.9866064190864563,NEGATIVE
Does that answer your question?,0.9284816384315491,NEGATIVE
"Jade: Jackie, check me out!",0.9992895126342773,POSITIVE
I got the moves!,0.9998169541358948,POSITIVE
Hee-yah!,0.9838781356811523,NEGATIVE
Jade?,0.9851605892181396,NEGATIVE
Not indoors!,0.8521667122840881,POSITIVE
Aah!,0.9799882173538208,POSITIVE
Fire!,0.992239236831665,POSITIVE
Aah!,0.9799882173538208,POSITIVE
My niece is very sorry.,0.9996728897094727,NEGATIVE
"Whoa! Aren't you, niece?",0.6121975183486938,POSITIVE
I am such a dork.,0.9967086315155029,NEGATIVE
"I was just trying to get you to teach me, Jackie.",0.9919393658638,NEGATIVE
The wise seek power within themselves.,0.9964941143989563,POSITIVE
The foolish seek it within others.,0.9772363901138306,NEGATIVE
Until you harness the power,0.9970296621322632,POSITIVE
"within yourself, I cannot teach you.",0.9951931238174438,NEGATIVE
Huh?,0.9917182922363281,NEGATIVE
It means you must have the discipline,0.9629361629486084,POSITIVE
to behave yourself. Now eat your food.,0.9372844696044922,POSITIVE
Power within. Got it.,0.9996670484542847,POSITIVE
Mmm.,0.998069703578949,POSITIVE
Don't eat like a baboon!,0.9952942728996277,NEGATIVE
You should chew your food.,0.9622515439987183,NEGATIVE
(Swallowing and gulping),0.9509781002998352,NEGATIVE
<i>Hello?</i> Chew soup?,0.9935389161109924,NEGATIVE
Help me out here.,0.9645257592201233,NEGATIVE
She's your niece.,0.9991523027420044,POSITIVE
(Swallowing),0.955206573009491,NEGATIVE
Ahh. Tastes like chicken.,0.9920551180839539,NEGATIVE
"Ooh, dessert!",0.998891294002533,POSITIVE
"""Danger looms in your future.""",0.5070528388023376,NEGATIVE
We must be very cautious.,0.9943069815635681,NEGATIVE
Pff. You listen to a cookie?,0.9876008033752441,NEGATIVE
"Evenin', chan.",0.6184371709823608,POSITIVE
Never mock the cookie.,0.9992945194244385,POSITIVE
Where's the talisman?,0.9935769438743591,NEGATIVE
"Come on, let's go. Man: Check, please.",0.9114500284194946,POSITIVE
Hgggh!,0.9793608784675598,NEGATIVE
"Go, Jackie!",0.9996113181114197,POSITIVE
Unnh!,0.9831816554069519,NEGATIVE
Ha!,0.6474078893661499,POSITIVE
Leave the rough stuff to Jackie.,0.9836869835853577,NEGATIVE
(Grunts),0.9939149022102356,NEGATIVE
"Go, uncle.",0.9985407590866089,POSITIVE
Thank you for dining with us.,0.9998514652252197,POSITIVE
(Gasps),0.9741412401199341,NEGATIVE
The talisman!,0.9990518689155579,POSITIVE
It was right there. They took it!,0.9996522665023804,POSITIVE
Come on. We can catch 'em.,0.9997913241386414,POSITIVE
Stay with uncle.,0.9880310893058777,POSITIVE
Come. Sit.,0.9961560368537903,POSITIVE
(Gasps) The restaurant manager!,0.896910548210144,POSITIVE
He looks <i> very</i> angry.,0.9996662139892578,NEGATIVE
Where?,0.9930404424667358,NEGATIVE
Ayah.,0.9947782754898071,POSITIVE
"Mr. valmont, sir.",0.9989701509475708,POSITIVE
It didn't go quite as planned.,0.9997696280479431,NEGATIVE
Regale me.,0.9998691082000732,POSITIVE
"Well, - we stomped chan.",0.9966883063316345,NEGATIVE
Stomped him good.,0.9905864596366882,POSITIVE
But we didn't see any talisman.,0.9981719255447388,NEGATIVE
You will be punished.,0.9926357865333557,NEGATIVE
"Shendu: Hindsight, valmont.",0.9797235727310181,NEGATIVE
But perhaps the blind <i>can</i> be made to see,0.9742168188095093,NEGATIVE
with the eyes of a dragon.,0.9974560141563416,POSITIVE
"""Stay with uncle.""",0.7386846542358398,POSITIVE
Tcch. - Didn't say <i> which</i> uncle.,0.9988741278648376,NEGATIVE
Who has the keys?,0.9978750944137573,NEGATIVE
He's coming!,0.99901282787323,POSITIVE
(Jackie panting),0.9769138693809509,NEGATIVE
Hmm.,0.9875869750976562,NEGATIVE
(Screams),0.9933945536613464,NEGATIVE
What's the big--,0.9995054006576538,POSITIVE
"oh. Uh, hi.",0.9969480633735657,POSITIVE
You followed me?,0.8945119380950928,NEGATIVE
What do you hear when I talk?,0.5619685649871826,NEGATIVE
"Tell me, does it sound like blah blah,",0.9985790252685547,NEGATIVE
"blah blah, blah blah blah blah blah?",0.9985253214836121,NEGATIVE
Jackie.,0.9920995235443115,POSITIVE
This is not funny. This is dangerous.,0.9997730851173401,NEGATIVE
(Muffled),0.9986842274665833,NEGATIVE
See?,0.9941139817237854,POSITIVE
Dangerous.,0.9989950060844421,NEGATIVE
Come on!,0.9985017776489258,POSITIVE
Aren't you gonna whomp 'em?,0.9965391159057617,NEGATIVE
(Panting) Ancient Chinese proverb--,0.9845402836799622,NEGATIVE
do not fight when you can run.,0.9126659035682678,NEGATIVE
(Panting),0.9981124401092529,NEGATIVE
You go that way. But--,0.9935886859893799,POSITIVE
go! You'll be safer away from me.,0.985589325428009,NEGATIVE
(Panting),0.9981124401092529,NEGATIVE
Huh?,0.9917182922363281,NEGATIVE
Why are they chasing <i> me?</i>,0.9949986934661865,NEGATIVE
Please have 4 wheels.,0.9896712899208069,POSITIVE
(Grunting),0.9929026961326599,NEGATIVE
Yes!,0.9998160004615784,POSITIVE
Nooo!,0.8689819574356079,NEGATIVE
Jade!,0.9989451766014099,POSITIVE
Sorry. I'll bring it right back.,0.9944327473640442,NEGATIVE
Whoa!,0.9698188304901123,POSITIVE
Ohhhh!,0.8194824457168579,NEGATIVE
"Jackie, you rule!",0.998613715171814,POSITIVE
(Gasps),0.9741412401199341,NEGATIVE
Aaaah!,0.7654323577880859,POSITIVE
"Whoa! Hey, kid, watch where you're going!",0.9990659356117249,POSITIVE
No!,0.9976682066917419,NEGATIVE
Huh?,0.9917182922363281,NEGATIVE
How'd I do that?,0.9967959523200989,NEGATIVE
Whoa!,0.9698188304901123,POSITIVE
Whoa!,0.9698188304901123,POSITIVE
Jackie!,0.9993489384651184,POSITIVE
No cutting in line.,0.9981056451797485,NEGATIVE
(Grunting),0.9929026961326599,NEGATIVE
Jackie!,0.9993489384651184,POSITIVE
Grab on!,0.8696070909500122,POSITIVE
Help.,0.6369463205337524,POSITIVE
Why do you want the girl?,0.9876545071601868,NEGATIVE
Unnh!,0.9831816554069519,NEGATIVE
"Oh, ninja-man...",0.794381320476532,POSITIVE
